City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Souillac,MU,71.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
4,Mahibadhoo,MV,82.18,scattered clouds,3.7833,72.9667,Omadhoo Inn
8,Rikitea,PF,74.3,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Mahebourg,MU,71.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,San Quintin,MX,74.1,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
15,Nouakchott,MR,80.53,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
17,Bowen,AU,74.19,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
29,Butaritari,KI,83.61,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Vila Velha,BR,73.35,mist,-20.3297,-40.2925,Quality Suites Vila Velha
35,Chimore,BO,78.31,overcast clouds,-16.9833,-65.1333,Bichito
37,Siocon,PH,84.99,overcast clouds,7.7061,122.1353,ABS Hotel
39,Cozumel,MX,84.18,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
40,Lompoc,US,73.42,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
42,Luanda,AO,72.45,light rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
43,Saint Anthony,US,71.26,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
46,Sao Filipe,CV,78.08,overcast clouds,14.8961,-24.4956,Hotel Xaguate
48,Puerto Carreno,CO,75.54,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
50,Jinchang,CN,74.79,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
52,Bahia Honda,CU,79.61,moderate rain,22.9036,-83.1592,Casa Gualberto - Deysi
54,Pemangkat,ID,83.39,few clouds,1.1667,108.9667,Ramah Kost KITA
57,Elko,US,77.02,few clouds,41.0002,-115.5012,
58,Bacabal,BR,78.46,clear sky,-4.2917,-44.7917,Rancho Sol Nascente
60,Tiruchchendur,IN,80.89,overcast clouds,8.4833,78.1167,Hotel Udhayam International
62,Labuhan,ID,80.19,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
63,Alofi,NU,77.63,light rain,-19.0595,-169.9187,Taloa Heights
64,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
65,Goure,NE,83.57,broken clouds,13.9835,10.2704,
67,Matay,EG,72.46,clear sky,28.419,30.7792,Nag Aespen
68,Nawa,IN,77.65,moderate rain,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
71,Centralia,US,72.79,few clouds,46.7162,-122.9543,Peppermill Inn
75,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
76,Bhainsdehi,IN,71.44,overcast clouds,21.6467,77.6325,Prince Rathore HOME
81,Sao Joao Da Barra,BR,71.65,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
83,Huilong,CN,82.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
84,Sampit,ID,75.65,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
86,Naze,JP,79.97,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
87,Buraydah,SA,75.4,clear sky,26.326,43.975,فندق راحة السلام
89,Dingle,PH,84.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
91,Airai,TL,75.65,few clouds,-8.9266,125.4092,Juvinal Martin
102,San Lorenzo,PY,74.34,clear sky,-25.3333,-57.5333,Hotel del Sur
103,Iracoubo,GF,78.53,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
104,Baturaja,ID,81.7,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
105,Coahuayana,MX,79.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
109,Marzuq,YE,78.91,few clouds,14.4,46.4667,
111,Banda Aceh,ID,83.21,overcast clouds,5.5577,95.3222,Sulthan Hotel International
113,Hami,CN,73.6,broken clouds,42.8,93.45,Laoyutang Resort
118,Lashio,MM,76.98,few clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
119,Mareeba,AU,76.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
120,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
122,Atuona,PF,78.06,clear sky,-9.8,-139.0333,Villa Enata
132,Arraial Do Cabo,BR,71.11,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
133,Hithadhoo,MV,82.4,few clouds,-0.6,73.0833,Scoop Guest House
134,Aksu,CN,73.72,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
135,Vaini,TO,73.56,moderate rain,-21.2,-175.2,Keleti Beach Resort
136,Poum,NC,73.02,clear sky,-20.2333,164.0167,Gîte kajeon
138,Ribeira Grande,PT,70.12,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
141,Monrovia,LR,77.0,light rain,6.3005,-10.7969,Sunset Inn
145,Shache,CN,73.9,overcast clouds,38.4167,77.2406,Delong Hotel
146,Imphal,IN,76.71,overcast clouds,24.8167,93.95,State Guest House
149,Camacha,PT,72.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
150,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
151,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
152,Hamilton,US,75.78,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
160,Quatre Cocos,MU,71.1,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
161,Takoradi,GH,75.25,scattered clouds,4.8845,-1.7554,Raybow International Hotel
162,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
164,San Gabriel Casa Blanca,MX,70.81,overcast clouds,18.15,-97.1333,
165,Borba,BR,74.61,light rain,-4.3878,-59.5939,Hotel da Amazônia
166,Paramirim,BR,73.89,clear sky,-13.4425,-42.2389,Pousada Rio Pequeno
168,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
169,Kalmunai,LK,80.91,overcast clouds,7.4167,81.8167,VS Villa
171,Gat,IL,74.08,overcast clouds,31.61,34.7642,OlusHome
173,Mahuva,IN,79.34,broken clouds,21.0914,71.7622,Hotel Blue Diamond.
176,Quelimane,MZ,71.83,overcast clouds,-17.8786,36.8883,Hotel Flamingo
178,Buchanan,LR,76.93,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
180,Vazante,BR,77.99,clear sky,-17.9869,-46.9078,Hotel Pousada e Restaurante
185,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
186,Goderich,CA,73.9,broken clouds,43.7501,-81.7165,Harmony Inn
189,Bandarbeyla,SO,79.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
190,Worthington,US,73.62,clear sky,40.0931,-83.018,Sheraton Suites Columbus Worthington
193,Terra Santa,BR,81.14,overcast clouds,-2.1042,-56.4869,Hotel Sarah
195,Cabo San Lucas,MX,83.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
196,Hattiesburg,US,74.64,clear sky,31.3271,-89.2903,Deluxe Inn
197,Altamont,US,74.39,smoke,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
199,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
200,Nong Khai,TH,84.27,broken clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
204,Tura,IN,79.5,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
206,Sokolo,ML,79.56,scattered clouds,14.7328,-6.1219,
207,Najran,SA,77.41,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
209,Nandgaon,IN,75.58,overcast clouds,20.3167,74.65,"Girl's hostel, Nandgaon"
210,Chumphon,TH,77.47,overcast clouds,10.3333,98.8333,สกาน จ๋า.
211,Tiznit,MA,77.43,few clouds,29.5833,-9.5,
212,Tual,ID,80.6,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
214,Acarau,BR,77.65,clear sky,-2.8856,-40.12,castelo pizzaria
216,Fukue,JP,76.08,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
217,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
219,San Patricio,US,84.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
225,Karratha,AU,81.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
226,Autazes,BR,75.54,broken clouds,-3.5797,-59.1306,Apart hotel Tupinambá
228,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
229,Kavieng,PG,84.51,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
232,Maracaibo,VE,81.82,overcast clouds,10.6317,-71.6406,Motel Aladdin
237,Madisonville,US,73.4,clear sky,37.3281,-87.4989,Days Inn by Wyndham Madisonville
240,Adoni,IN,74.32,overcast clouds,15.6333,77.2833,Bheemas Regency
242,Arinos,BR,76.12,clear sky,-15.9169,-46.1056,casa do bruno
245,Port Blair,IN,82.65,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
247,Cockburn Town,TC,83.71,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
250,Lalmohan,BD,83.88,scattered clouds,22.3384,90.7419,Sundorbon courier service
253,Amalapuram,IN,82.78,moderate rain,16.5833,82.0167,swayamprabha service apartments
254,Bengkulu,ID,80.22,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
255,Isangel,VU,76.32,few clouds,-19.55,169.2667,Tanna Lodge
258,Katsuura,JP,75.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
259,Namatanai,PG,84.4,light rain,-3.6667,152.4333,Seagulls Inn Namatani
266,Touros,BR,74.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
270,Guerrero Negro,MX,75.33,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
272,Mandera,KE,75.69,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
274,Payo,ID,82.78,overcast clouds,-3.7508,103.6372,Mess keban agung
278,Dakar,SN,79.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
279,Puerto Del Rosario,ES,74.95,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
280,Caravelas,BR,73.54,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
