City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,2021-09-12 02:04:59,71.9667,102.5,46.53,56,4,3.13,clear sky
1,Souillac,MU,2021-09-12 02:07:37,-20.5167,57.5167,71.37,77,42,20.07,scattered clouds
2,Minas,UY,2021-09-12 02:07:37,-34.3759,-55.2377,55.87,93,49,11.59,scattered clouds
3,Shu,KZ,2021-09-12 02:07:37,43.5983,73.7614,62.22,25,8,2.37,clear sky
4,Mahibadhoo,MV,2021-09-12 02:07:38,3.7833,72.9667,82.18,73,38,10.27,scattered clouds
5,Busselton,AU,2021-09-12 02:07:39,-33.65,115.3333,55.04,61,16,6.31,few clouds
6,Ambovombe,MG,2021-09-12 02:07:39,-25.1667,46.0833,65.77,84,17,14.0,few clouds
7,Orsha,BY,2021-09-12 02:07:39,54.5153,30.4053,56.21,78,100,5.55,overcast clouds
8,Rikitea,PF,2021-09-12 02:07:40,-23.1203,-134.9692,74.3,72,88,9.33,overcast clouds
9,Mahebourg,MU,2021-09-12 02:03:53,-20.4081,57.7,71.26,76,23,21.12,few clouds
10,San Quintin,MX,2021-09-12 02:05:19,30.4833,-115.95,74.1,79,0,10.6,clear sky
11,Hobart,AU,2021-09-12 02:07:29,-42.8794,147.3294,54.05,63,40,4.0,light rain
12,Qaanaaq,GL,2021-09-12 02:07:41,77.484,-69.3632,18.5,60,20,8.1,few clouds
13,Geraldton,AU,2021-09-12 02:07:41,-28.7667,114.6,63.01,55,0,17.27,clear sky
14,Kobyzhcha,UA,2021-09-12 02:07:42,50.8285,31.5044,49.91,73,88,4.23,overcast clouds
15,Nouakchott,MR,2021-09-12 02:03:05,18.0858,-15.9785,80.53,84,53,10.45,broken clouds
16,Tuktoyaktuk,CA,2021-09-12 02:07:43,69.4541,-133.0374,48.38,75,100,7.43,overcast clouds
17,Bowen,AU,2021-09-12 02:07:43,-20.0167,148.2333,74.19,64,89,10.63,overcast clouds
18,Cape Town,ZA,2021-09-12 02:07:09,-33.9258,18.4232,58.87,88,100,1.99,light rain
19,Ushuaia,AR,2021-09-12 02:07:44,-54.8,-68.3,42.46,45,20,16.11,few clouds
20,Chuy,UY,2021-09-12 02:04:12,-33.6971,-53.4616,52.54,96,9,6.58,clear sky
21,Mataura,NZ,2021-09-12 02:07:44,-46.1927,168.8643,54.48,69,96,12.97,light rain
22,Bredasdorp,ZA,2021-09-12 02:07:45,-34.5322,20.0403,51.89,91,92,3.69,overcast clouds
