City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2021-09-11 02:17:12,-21.2078,-159.775,78.85,78,40,6.91
1,Christchurch,NZ,2021-09-11 02:17:12,-43.5333,172.6333,59.32,52,9,4.0
2,Jamestown,US,2021-09-11 02:14:14,42.097,-79.2353,62.19,88,1,1.01
3,Vardo,NO,2021-09-11 02:17:13,70.3705,31.1107,43.68,75,93,18.32
4,Touros,BR,2021-09-11 02:17:14,-5.1989,-35.4608,76.1,76,6,16.17
5,Bardiyah,LY,2021-09-11 02:17:14,31.7561,25.0865,74.34,65,0,6.17
6,Butaritari,KI,2021-09-11 02:17:15,3.0707,172.7902,83.12,75,14,14.9
7,Hamilton,US,2021-09-11 02:16:13,39.1834,-84.5333,67.77,73,1,0.0
8,Atuona,PF,2021-09-11 02:17:15,-9.8,-139.0333,78.15,72,7,14.81
9,Lasa,IT,2021-09-11 02:17:16,46.6166,10.7002,63.48,90,70,1.79
10,Mahebourg,MU,2021-09-11 02:17:16,-20.4081,57.7,70.09,83,40,9.22
11,Albany,US,2021-09-11 02:17:16,42.6001,-73.9662,58.53,84,6,5.5
12,Pitimbu,BR,2021-09-11 02:17:17,-7.4706,-34.8086,73.99,74,12,11.97
13,Sena Madureira,BR,2021-09-11 02:17:18,-9.0656,-68.6569,72.0,95,42,0.38
14,Castro,BR,2021-09-11 02:17:18,-24.7911,-50.0119,56.44,40,99,3.94
15,Tabou,CI,2021-09-11 02:17:19,4.423,-7.3528,76.21,87,100,2.06
16,Xocali,AZ,2021-09-11 02:17:19,39.913,46.7903,60.17,73,0,3.33
17,Barrow,US,2021-09-11 02:13:29,71.2906,-156.7887,35.62,93,90,14.97
18,Grindavik,IS,2021-09-11 02:17:20,63.8424,-22.4338,48.15,100,75,6.91
19,Ushuaia,AR,2021-09-11 02:17:20,-54.8,-68.3,37.06,81,40,9.22
20,Fredericksburg,US,2021-09-11 02:17:21,38.3032,-77.4605,66.42,83,1,0.0
21,Okara,PK,2021-09-11 02:17:22,30.8081,73.4458,76.46,90,8,9.24
22,Ladario,BR,2021-09-11 02:17:22,-19.0047,-57.6017,69.46,47,1,2.15
23,Itaituba,BR,2021-09-11 02:16:17,-4.2761,-55.9836,76.46,75,11,1.99
24,Georgetown,MY,2021-09-11 02:12:40,5.4112,100.3354,85.93,75,20,3.44
25,Rikitea,PF,2021-09-11 02:17:23,-23.1203,-134.9692,73.85,77,85,13.29
26,New Norfolk,AU,2021-09-11 02:17:24,-42.7826,147.0587,65.91,58,47,4.0
27,Gazalkent,UZ,2021-09-11 02:17:24,41.5581,69.7708,59.36,30,0,4.12
28,Katsuura,JP,2021-09-11 02:17:25,35.1333,140.3,78.84,75,73,5.26
29,Cape Town,ZA,2021-09-11 02:17:01,-33.9258,18.4232,53.89,86,75,1.99
30,Hermanus,ZA,2021-09-11 02:17:25,-34.4187,19.2345,50.9,76,56,3.47
31,Kavaratti,IN,2021-09-11 02:17:26,10.5669,72.642,81.97,77,100,17.34
32,Yellowknife,CA,2021-09-11 02:17:27,62.456,-114.3525,48.72,76,20,3.44
33,Lagoa,PT,2021-09-11 02:17:27,39.05,-27.9833,69.39,76,5,21.34
34,Nanortalik,GL,2021-09-11 02:17:28,60.1432,-45.2371,44.4,83,100,3.42
35,Bluff,NZ,2021-09-11 02:17:28,-46.6,168.3333,47.8,68,90,19.8
36,Mataura,NZ,2021-09-11 02:17:29,-46.1927,168.8643,47.48,84,51,7.72
37,Itarema,BR,2021-09-11 02:17:30,-2.9248,-39.9167,77.49,86,7,13.58
38,Saint-Philippe,RE,2021-09-11 02:17:31,-21.3585,55.7679,65.75,81,12,9.62
39,Lebu,CL,2021-09-11 02:17:31,-37.6167,-73.65,51.66,90,100,2.66
40,Olafsvik,IS,2021-09-11 02:17:32,64.8945,-23.7142,48.11,85,100,3.18
41,San Vicente,AR,2021-09-11 02:17:32,-26.6167,-54.1333,49.42,83,0,2.82
42,Meulaboh,ID,2021-09-11 02:17:32,4.1363,96.1285,78.85,82,100,3.58
43,Qaanaaq,GL,2021-09-11 02:17:33,77.484,-69.3632,17.65,67,98,6.87
44,Nanfeng,CN,2021-09-11 02:17:33,23.7434,111.7959,89.17,67,42,1.97
45,Busselton,AU,2021-09-11 02:17:34,-33.65,115.3333,56.05,60,50,12.62
46,Salalah,OM,2021-09-11 02:17:35,17.0151,54.0924,78.89,100,90,3.44
47,Kwekwe,ZW,2021-09-11 02:17:35,-18.9281,29.8149,51.62,72,0,9.22
48,Tomatlan,MX,2021-09-11 02:17:35,19.9333,-105.25,77.32,96,100,2.26
49,Camocim,BR,2021-09-11 02:17:36,-2.9022,-40.8411,75.47,88,55,8.84
50,East London,ZA,2021-09-11 02:17:37,-33.0153,27.9116,68.32,77,7,4.5
51,Tsogni,GA,2021-09-11 02:17:37,-2.7942,10.0988,75.25,87,100,6.26
52,Majene,ID,2021-09-11 02:17:38,-3.5403,118.9707,84.34,71,24,3.09
53,Khowst,AF,2021-09-11 02:17:38,33.3833,69.8833,71.89,79,42,2.84
54,Kodiak,US,2021-09-11 02:17:39,57.79,-152.4072,62.11,51,1,17.27
55,Ilulissat,GL,2021-09-11 02:17:40,69.2167,-51.1,26.62,63,0,2.3
56,Kaitangata,NZ,2021-09-11 02:17:40,-46.2817,169.8464,48.16,83,97,9.26
57,Cherskiy,RU,2021-09-11 02:17:40,68.75,161.3,38.28,53,16,10.83
58,Punta Arenas,CL,2021-09-11 02:17:41,-53.15,-70.9167,39.31,75,20,14.97
59,Cabo San Lucas,MX,2021-09-11 02:17:42,22.8909,-109.9124,81.52,84,40,1.99
60,Dikson,RU,2021-09-11 02:17:42,73.5069,80.5464,43.2,94,100,9.01
61,Nouadhibou,MR,2021-09-11 02:17:43,20.931,-17.0347,78.78,83,75,12.66
62,Komsomolskiy,UZ,2021-09-11 02:17:43,40.4272,71.7189,65.12,34,8,2.3
63,El Tigre,VE,2021-09-11 02:14:20,8.8875,-64.2454,77.65,71,15,12.17
64,Pacific Grove,US,2021-09-11 02:17:44,36.6177,-121.9166,77.4,87,75,1.99
